"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"247","Gm1",0,2813.0948,1455.0672,0,0.340911896033937,"LC",0
"248","Gm10",0,182.9128,910.2552,0,0.832676404724617,"LC",0
"249","Gm11",0,4208.6412,6300.3572,0,0.599520235915156,"LC",0
"250","Gm12",0,3707.5428,9064.8236,0,0.709721543847975,"LC",0
"251","Gm13",0,2126.4012,1800.66,0,0.458526085613333,"LC",0
"252","Gm14",0,2950.2448,800.25,0,0.213371846296121,"LC",0
"253","Gm15",0,1967.0712,2249.7104,0,0.533513616166415,"LC",0
"254","Gm16",0,5328.7156,4325.5816,0,0.448047279920075,"LC",0
"255","Gm17",0,805.2424,486.0952,0,0.376427666940078,"LC",0
"256","Gm19",0,846.91,533.9544,0,0.386681270079814,"LC",0
"257","Gm2",0,2818.7636,918.0992,0,0.245687157687459,"LC",0
"258","Gm20",0,18.384,1.9544,0,0.0960940880305235,"LC",0
"259","Gm21",0,1192.5932,358.4616,0,0.231108275478081,"LC",0
"260","Gm22",0,352.0896,587.1232,0,0.625122655909289,"LC",0
"261","Gm23",0,759.598,614.2972,0,0.447120857544302,"LC",0
"262","Gm24",0,9.348,0.6604,0,0.0659845729587147,"LC",0
"263","Gm25",0,103.7604,326.8628,0,0.759045959437392,"LC",0
"264","Gm26",0,242.3812,18.2572,0,0.0700480052056796,"LC",0
"265","Gm27",0,261.1268,6.9264,0,0.0258396467566886,"LC",0
"266","Gm28",0,91.4932,2.3596,0,0.0251414981758669,"LC",0
"267","Gm29",0,502.8044,20.4824,0,0.0391418243303672,"LC",0
"268","Gm3",0,6008.4044,9055.468,0,0.60113812435108,"LC",0
"269","Gm30",0,2611.1972,1247.5116,0,0.323297679265147,"LC",0
"270","Gm31",0,536.0492,512.1228,0,0.488586606015043,"LC",0
"271","Gm4",0,7447.8628,6806.768,0,0.477512753259102,"LC",0
"272","Gm5",0,2462.5512,1007.1788,0,0.29027584278892,"LC",0
"273","Gm6",0,5465.106,4426.4844,0,0.447499767074868,"LC",0
"274","Gm7",0,27.5856,2.444,0,0.0813863654527533,"LC",0
"275","Gm8",0,5504.5348,8988.3612,0,0.620190830045286,"LC",0
"276","Gm9",0,435.894,877.3836,0,0.668086929983425,"LC",0
"277","Gs1",0,281.5092,257.7312,0,0.477952319596232,"LC",0
"278","Gs10",0,7667.4836,3277.2208,0,0.29943438216568,"LC",0.0243190487629798
"279","Gs11",0,1020.964,1321.208,0,0.564095207354541,"LC",0
"280","Gs12",0,4697.2748,4030.8136,0,0.461820895397897,"LC",0
"281","Gs13",0,148.3528,344.6148,0,0.699061763896856,"LC",0
"282","Gs14",0,2338.7072,2942.9928,0,0.557205596682886,"LC",0.0682574171194881
"283","Gs15",0,3960.1832,2177.1008,0,0.354733592253512,"LC",0.166598058685243
"284","Gs16",0,2980.112,626.1892,0,0.173637520903689,"LC",0
"285","Gs17",0.4128,4184.9144,56.842,0,0.0133992769548183,"LC",0.178005818344068
"286","Gs18",1.768,1432.1616,0.0172,0,1.19948661972676e-05,"LC",1
"287","Gs19",0,1333.9312,1690.3196,0,0.558921766673584,"LC",0
