"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"245","7","AT49","Eastern Cape",387
"246","1","AT50","Eastern Cape",1288606
"247","2","AT50","Eastern Cape",46915
"248","3","AT50","Eastern Cape",1593
"249","4","AT50","Eastern Cape",44720
"250","5","AT50","Eastern Cape",61227
"251","6","AT50","Eastern Cape",241
"252","7","AT50","Eastern Cape",554
"253","1","AT51","Eastern Cape",4234271
"254","2","AT51","Eastern Cape",103599
"255","3","AT51","Eastern Cape",7321
"256","4","AT51","Eastern Cape",180985
"257","5","AT51","Eastern Cape",371314
"258","6","AT51","Eastern Cape",5161
"259","7","AT51","Eastern Cape",5856
"260","1","AT52","Eastern Cape",75604
"261","2","AT52","Eastern Cape",10540
"262","3","AT52","Eastern Cape",0
"263","4","AT52","Eastern Cape",63
"264","5","AT52","Eastern Cape",22785
"265","6","AT52","Eastern Cape",0
"266","7","AT52","Eastern Cape",0
"267","1","AT53","Eastern Cape",41374
"268","2","AT53","Eastern Cape",5058
"269","3","AT53","Eastern Cape",22
"270","4","AT53","Eastern Cape",14612
"271","5","AT53","Eastern Cape",1443
"272","6","AT53","Eastern Cape",0
"273","7","AT53","Eastern Cape",5248
"274","1","AT54","Eastern Cape",462248
"275","2","AT54","Eastern Cape",2549
"276","3","AT54","Eastern Cape",834
"277","4","AT54","Eastern Cape",95
"278","5","AT54","Eastern Cape",3565
"279","6","AT54","Eastern Cape",0
"280","7","AT54","Eastern Cape",10
"281","1","AT55","Eastern Cape",0
"282","2","AT55","Eastern Cape",0
"283","3","AT55","Eastern Cape",0
"284","4","AT55","Eastern Cape",0
"285","5","AT55","Eastern Cape",0
"286","6","AT55","Eastern Cape",0
"287","7","AT55","Eastern Cape",0
"288","1","AT56","Eastern Cape",1164873
"289","2","AT56","Eastern Cape",163997
"290","3","AT56","Eastern Cape",1350
"291","4","AT56","Eastern Cape",162804
"292","5","AT56","Eastern Cape",230186
"293","6","AT56","Eastern Cape",1994
"294","7","AT56","Eastern Cape",28840
"295","1","AT57","Eastern Cape",263770
"296","2","AT57","Eastern Cape",23197
"297","3","AT57","Eastern Cape",6203
"298","4","AT57","Eastern Cape",29629
"299","5","AT57","Eastern Cape",18698
"300","6","AT57","Eastern Cape",663
"301","7","AT57","Eastern Cape",458
"302","1","AT58","Eastern Cape",4556743
"303","2","AT58","Eastern Cape",22841
"304","3","AT58","Eastern Cape",4697
"305","4","AT58","Eastern Cape",12240
"306","5","AT58","Eastern Cape",12325
"307","6","AT58","Eastern Cape",162
"308","7","AT58","Eastern Cape",48
"309","1","AZa1","Eastern Cape",0
"310","2","AZa1","Eastern Cape",0
"311","3","AZa1","Eastern Cape",0
"312","4","AZa1","Eastern Cape",0
"313","5","AZa1","Eastern Cape",0
"314","6","AZa1","Eastern Cape",0
"315","7","AZa1","Eastern Cape",0
"316","1","AZa2","Eastern Cape",0
"317","2","AZa2","Eastern Cape",0
"318","3","AZa2","Eastern Cape",0
"319","4","AZa2","Eastern Cape",0
"320","5","AZa2","Eastern Cape",0
"321","6","AZa2","Eastern Cape",0
"322","7","AZa2","Eastern Cape",0
"323","1","AZa3","Eastern Cape",0
"324","2","AZa3","Eastern Cape",0
"325","3","AZa3","Eastern Cape",0
