"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"426","SVl11",602.9808,27.6216,4,"LC",0,0,1
"427","SVl12",391.58,76.8152,16,"LC",0,0,0.991155332078552
"428","SVl13",80.6992,28.8024,26,"LC",0,0,1
"429","SVl14",3514.2196,946.0724,21,"LC",0,0.113321908072386,0.196340239607631
"430","SVl15",1344.468,1.5856,0,"LC",0,0,0.664045176209922
"431","SVl16",2335.9972,249.1572,10,"LC",0,0.450806342553466,0.0529080970947035
"432","SVl17",65.32,69.4256,52,"EN",0,0.875329509831861,0.0699688895221811
"433","SVl18",901.86,222.5792,20,"LC",0,0.999921383032537,0
"434","SVl19",116.4812,36.4732,24,"LC",0,1,0
"435","SVl2",183.87,0.034,0,"LC",0,0,0.135633808943797
"436","SVl20",793.5704,851.5256,52,"EN",0,0.999998784265478,0
"437","SVl21",285.0612,50.0376,15,"LC",0,0.999888987964147,0
"438","SVl22",3627.2228,1546.4824,30,"LC",0,0.922119799172168,0
"439","SVl23",5679.0088,2885.72,34,"LC",0,0.783335766568581,0.0450084070379438
"440","SVl24",272.5996,422.0172,61,"EN",0,1,0
"441","SVl25",486.8032,173.8548,26,"LC",0,0.9999775980916,0
"442","SVl26",341.2252,362.3732,52,"EN",0,0.999923820179239,0
"443","SVl27",461.7024,78.1812,14,"LC",0,0,1
"444","SVl3",15180.0324,4659.0908,23,"LC",0,0.00184266207893704,0.404993664236129
"445","SVl4",1991.3748,730.7344,27,"LC",0,0.032215313037405,0.256583534562096
"446","SVl5",3014.8912,555.3432,16,"LC",0,0,0.789505809478504
"447","SVl6",759.4888,0.7596,0,"LC",0,0,1
"448","SVl7",286.2144,37.3036,12,"LC",0,0,0
"449","SVl8",1748.676,1650.8256,49,"LC",0,0,0.000233445985140881
"450","SVl9",1713.7072,1848.8048,52,"EN",0,0,0.992554579465276
"451","SVmp1",8133.1276,664.2104,8,"LC",0,0,0
"452","SVmp2",2718.234,67.4744,2,"LC",0,0,0
"453","SVmp3",276.862,0.1808,0,"LC",0,0,0
"454","SVmp4",2800.2392,5.154,0,"LC",0,0,0.0390658963599113
"455","SVmp5",4722.2952,594.7916,11,"LC",0,0,0
"456","SVmp6",2432.504,721.5796,23,"LC",0,0,0.0910082408722457
"457","SVmp7",2030.1352,195.3972,9,"LC",0,0,0.372534320327127
"458","SVmp8",310.314,0.1544,0,"LC",0,0,0.122411169703583
"459","SVs1",1859.8392,846.6828,31,"LC",0,1,0
"460","SVs2",1623.9824,591.6688,27,"LC",0,1,0
"461","SVs3",1136.262,397.1808,26,"LC",0,1,0
"462","SVs4",325.8,477.3016,59,"EN",0,0,0
"463","SVs5",437.6552,1374.9768,76,"EN",0,1,0
"464","SVs6",7277.3052,2908.2632,29,"LC",0,0.30863864210072,0
"465","SVs7",4781.982,2980.212,38,"LC",0,0,0
"466","SVs8",848.7176,679.0848,44,"LC",0,0,0
