"","T_MAPCODE","nat","notnat","prclost_alt","A3","ext_wc","ext_kzn","ext_mpl"
"44","AT58",2220.29,32.0056,1,"LC",0.185449014774082,0,0
"45","AZa1",18.4608,0.2696,1,"LC",1,0,0
"46","AZa2",134.2804,216.574,62,"EN",1,0,0
"47","AZa3",530.6584,340.1524,39,"LC",0,0,0
"48","AZa4",1248.0948,539.2068,30,"LC",0,0,0
"49","AZa5",2106.012,1129.1668,35,"LC",0,0,0
"50","AZa6",286.0896,367.3672,56,"EN",0.000560098234496909,0,0
"51","AZa7",869.7012,416.5388,32,"LC",0,0.517380893145914,0
"52","AZd1",0.3296,6.1072,95,"CR",0,0,0
"53","AZd2",9.5776,3.6468,28,"LC",0.129971870179365,0,0
"54","AZd3",215.786,4.4968,2,"LC",0.280584775570312,0,0
"55","AZd4",26.9028,1.1708,4,"LC",0,0.834164481933204,0
"56","AZi1",1206.8004,157.0432,12,"LC",0.525662913254863,0,0
"57","AZi3",1914.22,21.8292,1,"LC",0,0,0
"58","AZi5",4813.5156,363.5592,7,"LC",0.00129571239727886,0,0
"59","AZi6",4552.118,750.7336,14,"LC",0.392047252463184,0,0
"60","AZi7",1998.9096,131.2516,6,"LC",0.578077189651187,0,0
"61","AZi8",157.1636,250.1008,61,"EN",1,0,0
"62","AZs3",10.3212,2.6552,20,"LC",0,0.971794950833821,0
"63","CB1",846.4604,1509.2344,64,"EN",0,0.999946172993208,0
"64","CB2",387.1948,734.9484,65,"EN",0,1,0
"65","CB3",739.4472,3402.3404,82,"EN",0,0.999995074590498,0
"66","CB4",666.5316,633.35,49,"LC",0,0.287871449215067,0
"67","CB5",899.5028,750.9076,45,"LC",0,0,0
"68","CB6",446.1104,675.0908,60,"EN",0,1,0
"69","Dg1",332.9224,3.002,1,"LC",0,0,0
"70","Dg10",2084.3664,10.3504,0,"LC",0,0,0
"71","Dg2",361.4112,0.0368,0,"LC",0,0,0
"72","Dg3",156.4612,3.5964,2,"LC",0,0,0
"73","Dg4",107.1836,0.612,1,"LC",0,0,0
"74","Dg5",591.9436,0.3512,0,"LC",0,0,0
