"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"12524","1","SVcb23","8",0
"12525","2","SVcb23","8",0
"12526","3","SVcb23","8",0
"12527","4","SVcb23","8",0
"12528","5","SVcb23","8",0
"12529","6","SVcb23","8",0
"12530","7","SVcb23","8",0
"12531","1","SVcb24","8",0
"12532","2","SVcb24","8",0
"12533","3","SVcb24","8",0
"12534","4","SVcb24","8",0
"12535","5","SVcb24","8",0
"12536","6","SVcb24","8",0
"12537","7","SVcb24","8",0
"12538","1","SVcb25","8",0
"12539","2","SVcb25","8",0
"12540","3","SVcb25","8",0
"12541","4","SVcb25","8",0
"12542","5","SVcb25","8",0
"12543","6","SVcb25","8",0
"12544","7","SVcb25","8",0
"12545","1","SVcb26","8",0
"12546","2","SVcb26","8",0
"12547","3","SVcb26","8",0
"12548","4","SVcb26","8",0
"12549","5","SVcb26","8",0
"12550","6","SVcb26","8",0
"12551","7","SVcb26","8",0
"12552","1","SVcb27","8",0
"12553","2","SVcb27","8",0
"12554","3","SVcb27","8",0
"12555","4","SVcb27","8",0
"12556","5","SVcb27","8",0
"12557","6","SVcb27","8",0
"12558","7","SVcb27","8",0
"12559","1","SVcb28","8",0
"12560","2","SVcb28","8",0
"12561","3","SVcb28","8",0
"12562","4","SVcb28","8",0
"12563","5","SVcb28","8",0
"12564","6","SVcb28","8",0
"12565","7","SVcb28","8",0
"12566","1","SVcb29","8",0
"12567","2","SVcb29","8",0
"12568","3","SVcb29","8",0
"12569","4","SVcb29","8",0
"12570","5","SVcb29","8",0
"12571","6","SVcb29","8",0
"12572","7","SVcb29","8",0
"12573","1","SVcb3","8",0
"12574","2","SVcb3","8",0
"12575","3","SVcb3","8",0
"12576","4","SVcb3","8",0
"12577","5","SVcb3","8",0
"12578","6","SVcb3","8",0
"12579","7","SVcb3","8",0
"12580","1","SVcb4","8",0
"12581","2","SVcb4","8",0
"12582","3","SVcb4","8",0
"12583","4","SVcb4","8",0
"12584","5","SVcb4","8",0
"12585","6","SVcb4","8",0
"12586","7","SVcb4","8",0
"12587","1","SVcb5","8",0
"12588","2","SVcb5","8",0
"12589","3","SVcb5","8",0
"12590","4","SVcb5","8",0
"12591","5","SVcb5","8",0
"12592","6","SVcb5","8",0
"12593","7","SVcb5","8",0
"12594","1","SVcb6","8",0
"12595","2","SVcb6","8",0
"12596","3","SVcb6","8",0
"12597","4","SVcb6","8",0
"12598","5","SVcb6","8",0
"12599","6","SVcb6","8",0
"12600","7","SVcb6","8",0
"12601","1","SVcb7","8",0
"12602","2","SVcb7","8",0
"12603","3","SVcb7","8",0
"12604","4","SVcb7","8",0
"12605","5","SVcb7","8",0
"12606","6","SVcb7","8",0
"12607","7","SVcb7","8",0
"12608","1","SVcb8","8",0
"12609","2","SVcb8","8",0
"12610","3","SVcb8","8",0
"12611","4","SVcb8","8",0
"12612","5","SVcb8","8",0
