"","nlc2022_7class","T_MAPCODE","step_deg2","n"
"517","6","Dg5","0",0
"518","7","Dg5","0",0
"519","1","Dg6","0",0
"520","2","Dg6","0",0
"521","3","Dg6","0",0
"522","4","Dg6","0",0
"523","5","Dg6","0",0
"524","6","Dg6","0",0
"525","7","Dg6","0",0
"526","1","Dg7","0",0
"527","2","Dg7","0",0
"528","3","Dg7","0",0
"529","4","Dg7","0",0
"530","5","Dg7","0",0
"531","6","Dg7","0",0
"532","7","Dg7","0",0
"533","1","Dg8","0",0
"534","2","Dg8","0",0
"535","3","Dg8","0",0
"536","4","Dg8","0",0
"537","5","Dg8","0",0
"538","6","Dg8","0",0
"539","7","Dg8","0",0
"540","1","Dg9","0",0
"541","2","Dg9","0",0
"542","3","Dg9","0",0
"543","4","Dg9","0",0
"544","5","Dg9","0",0
"545","6","Dg9","0",0
"546","7","Dg9","0",0
"547","1","Dn1","0",0
"548","2","Dn1","0",0
"549","3","Dn1","0",0
"550","4","Dn1","0",0
"551","5","Dn1","0",0
"552","6","Dn1","0",0
"553","7","Dn1","0",0
"554","1","Dn2","0",0
"555","2","Dn2","0",0
"556","3","Dn2","0",0
"557","4","Dn2","0",0
"558","5","Dn2","0",0
"559","6","Dn2","0",0
"560","7","Dn2","0",0
"561","1","Dn3","0",0
"562","2","Dn3","0",0
"563","3","Dn3","0",0
"564","4","Dn3","0",0
"565","5","Dn3","0",0
"566","6","Dn3","0",0
"567","7","Dn3","0",0
"568","1","Dn4","0",0
"569","2","Dn4","0",0
"570","3","Dn4","0",0
"571","4","Dn4","0",0
"572","5","Dn4","0",0
"573","6","Dn4","0",0
"574","7","Dn4","0",0
"575","1","Dn5","0",0
"576","2","Dn5","0",0
"577","3","Dn5","0",0
"578","4","Dn5","0",0
"579","5","Dn5","0",0
"580","6","Dn5","0",0
"581","7","Dn5","0",0
"582","1","FFa1","0",0
"583","2","FFa1","0",0
"584","3","FFa1","0",0
"585","4","FFa1","0",0
"586","5","FFa1","0",0
"587","6","FFa1","0",0
"588","7","FFa1","0",0
"589","1","FFa2","0",0
"590","2","FFa2","0",0
"591","3","FFa2","0",0
"592","4","FFa2","0",0
"593","5","FFa2","0",0
"594","6","FFa2","0",0
"595","7","FFa2","0",0
"596","1","FFa3","0",0
"597","2","FFa3","0",0
"598","3","FFa3","0",0
"599","4","FFa3","0",0
"600","5","FFa3","0",0
"601","6","FFa3","0",0
"602","7","FFa3","0",0
"603","1","FFa4","0",0
"604","2","FFa4","0",0
"605","3","FFa4","0",0
"606","4","FFa4","0",0
"607","5","FFa4","0",0
"608","6","FFa4","0",0
"609","7","FFa4","0",0
"610","1","FFb1","0",0
"611","2","FFb1","0",0
"612","3","FFb1","0",0
"613","4","FFb1","0",0
"614","5","FFb1","0",0
"615","6","FFb1","0",0
"616","7","FFb1","0",0
"617","1","FFb2","0",0
"618","2","FFb2","0",0
"619","3","FFb2","0",0
"620","4","FFb2","0",0
"621","5","FFb2","0",0
"622","6","FFb2","0",0
"623","7","FFb2","0",0
"624","1","FFb3","0",240061
"625","2","FFb3","0",136
"626","3","FFb3","0",32
"627","4","FFb3","0",70
"628","5","FFb3","0",141
"629","6","FFb3","0",0
"630","7","FFb3","0",55
"631","1","FFb4","0",58224
"632","2","FFb4","0",4917
"633","3","FFb4","0",7
"634","4","FFb4","0",219
"635","5","FFb4","0",10986
"636","6","FFb4","0",0
"637","7","FFb4","0",3513
"638","1","FFb5","0",239309
"639","2","FFb5","0",12614
"640","3","FFb5","0",304
"641","4","FFb5","0",607
"642","5","FFb5","0",17604
"643","6","FFb5","0",9
"644","7","FFb5","0",429
"645","1","FFb6","0",73958
"646","2","FFb6","0",23642
"647","3","FFb6","0",1580
"648","4","FFb6","0",6362
"649","5","FFb6","0",61617
"650","6","FFb6","0",28
"651","7","FFb6","0",27918
"652","1","FFc1","0",582651
"653","2","FFc1","0",160680
"654","3","FFc1","0",912
"655","4","FFc1","0",5229
"656","5","FFc1","0",630702
"657","6","FFc1","0",111
"658","7","FFc1","0",6350
"659","1","FFd1","0",0
"660","2","FFd1","0",0
"661","3","FFd1","0",0
"662","4","FFd1","0",0
"663","5","FFd1","0",0
"664","6","FFd1","0",0
"665","7","FFd1","0",0
"666","1","FFd10","0",74874
"667","2","FFd10","0",20638
"668","3","FFd10","0",319
"669","4","FFd10","0",24109
"670","5","FFd10","0",13386
"671","6","FFd10","0",61
"672","7","FFd10","0",245789
"673","1","FFd11","0",150378
"674","2","FFd11","0",4658
"675","3","FFd11","0",167
"676","4","FFd11","0",3701
"677","5","FFd11","0",31782
"678","6","FFd11","0",604
"679","7","FFd11","0",249
"680","1","FFd2","0",0
"681","2","FFd2","0",0
"682","3","FFd2","0",0
"683","4","FFd2","0",0
"684","5","FFd2","0",0
"685","6","FFd2","0",0
"686","7","FFd2","0",0
"687","1","FFd3","0",0
"688","2","FFd3","0",0
"689","3","FFd3","0",0
"690","4","FFd3","0",0
"691","5","FFd3","0",0
"692","6","FFd3","0",0
"693","7","FFd3","0",0
"694","1","FFd4","0",0
"695","2","FFd4","0",0
"696","3","FFd4","0",0
"697","4","FFd4","0",0
"698","5","FFd4","0",0
"699","6","FFd4","0",0
"700","7","FFd4","0",0
"701","1","FFd5","0",0
"702","2","FFd5","0",0
"703","3","FFd5","0",0
"704","4","FFd5","0",0
"705","5","FFd5","0",0
"706","6","FFd5","0",0
"707","7","FFd5","0",0
"708","1","FFd6","0",0
"709","2","FFd6","0",0
"710","3","FFd6","0",0
"711","4","FFd6","0",0
"712","5","FFd6","0",0
"713","6","FFd6","0",0
"714","7","FFd6","0",0
"715","1","FFd7","0",0
"716","2","FFd7","0",0
"717","3","FFd7","0",0
"718","4","FFd7","0",0
"719","5","FFd7","0",0
"720","6","FFd7","0",0
"721","7","FFd7","0",0
"722","1","FFd8","0",0
"723","2","FFd8","0",0
"724","3","FFd8","0",0
"725","4","FFd8","0",0
"726","5","FFd8","0",0
"727","6","FFd8","0",0
"728","7","FFd8","0",0
"729","1","FFd9","0",535686
"730","2","FFd9","0",182945
"731","3","FFd9","0",160
"732","4","FFd9","0",13200
"733","5","FFd9","0",296471
"734","6","FFd9","0",281
"735","7","FFd9","0",2171
"736","1","FFf1","0",0
"737","2","FFf1","0",0
"738","3","FFf1","0",0
"739","4","FFf1","0",0
"740","5","FFf1","0",0
"741","6","FFf1","0",0
"742","7","FFf1","0",0
"743","1","FFf2","0",0
"744","2","FFf2","0",0
"745","3","FFf2","0",0
"746","4","FFf2","0",0
"747","5","FFf2","0",0
"748","6","FFf2","0",0
"749","7","FFf2","0",0
"750","1","FFg1","0",0
"751","2","FFg1","0",0
"752","3","FFg1","0",0
"753","4","FFg1","0",0
"754","5","FFg1","0",0
"755","6","FFg1","0",0
"756","7","FFg1","0",0
"757","1","FFg2","0",0
"758","2","FFg2","0",0
"759","3","FFg2","0",0
"760","4","FFg2","0",0
"761","5","FFg2","0",0
"762","6","FFg2","0",0
"763","7","FFg2","0",0
"764","1","FFg3","0",0
"765","2","FFg3","0",0
"766","3","FFg3","0",0
"767","4","FFg3","0",0
"768","5","FFg3","0",0
"769","6","FFg3","0",0
"770","7","FFg3","0",0
"771","1","FFg4","0",0
"772","2","FFg4","0",0
"773","3","FFg4","0",0
"774","4","FFg4","0",0
"775","5","FFg4","0",0
"776","6","FFg4","0",0
"777","7","FFg4","0",0
"778","1","FFg5","0",444627
"779","2","FFg5","0",153516
"780","3","FFg5","0",4870
"781","4","FFg5","0",127776
"782","5","FFg5","0",471403
"783","6","FFg5","0",1660
"784","7","FFg5","0",41631
"785","1","FFh1","0",0
"786","2","FFh1","0",0
"787","3","FFh1","0",0
"788","4","FFh1","0",0
"789","5","FFh1","0",0
"790","6","FFh1","0",0
"791","7","FFh1","0",0
"792","1","FFh10","0",693453
"793","2","FFh10","0",6801
"794","3","FFh10","0",49
"795","4","FFh10","0",451
"796","5","FFh10","0",5221
"797","6","FFh10","0",0
"798","7","FFh10","0",835
"799","1","FFh11","0",0
"800","2","FFh11","0",0
"801","3","FFh11","0",0
"802","4","FFh11","0",0
"803","5","FFh11","0",0
"804","6","FFh11","0",0
"805","7","FFh11","0",0
"806","1","FFh2","0",0
"807","2","FFh2","0",0
"808","3","FFh2","0",0
"809","4","FFh2","0",0
"810","5","FFh2","0",0
"811","6","FFh2","0",0
"812","7","FFh2","0",0
"813","1","FFh3","0",159151
"814","2","FFh3","0",17969
"815","3","FFh3","0",579
"816","4","FFh3","0",560
"817","5","FFh3","0",9087
"818","6","FFh3","0",52
"819","7","FFh3","0",386
"820","1","FFh4","0",0
"821","2","FFh4","0",0
"822","3","FFh4","0",0
"823","4","FFh4","0",0
"824","5","FFh4","0",0
"825","6","FFh4","0",0
"826","7","FFh4","0",0
"827","1","FFh5","0",0
"828","2","FFh5","0",0
"829","3","FFh5","0",0
"830","4","FFh5","0",0
"831","5","FFh5","0",0
"832","6","FFh5","0",0
"833","7","FFh5","0",0
"834","1","FFh6","0",0
"835","2","FFh6","0",0
"836","3","FFh6","0",0
"837","4","FFh6","0",0
"838","5","FFh6","0",0
"839","6","FFh6","0",0
"840","7","FFh6","0",0
"841","1","FFh7","0",0
"842","2","FFh7","0",0
"843","3","FFh7","0",0
"844","4","FFh7","0",0
"845","5","FFh7","0",0
"846","6","FFh7","0",0
"847","7","FFh7","0",0
"848","1","FFh8","0",10796
"849","2","FFh8","0",2533
"850","3","FFh8","0",197
"851","4","FFh8","0",45
"852","5","FFh8","0",2606
"853","6","FFh8","0",1
"854","7","FFh8","0",19
"855","1","FFh9","0",556934
"856","2","FFh9","0",149022
"857","3","FFh9","0",6041
"858","4","FFh9","0",94780
"859","5","FFh9","0",327187
"860","6","FFh9","0",181
"861","7","FFh9","0",209538
"862","1","FFl1","0",0
"863","2","FFl1","0",0
"864","3","FFl1","0",0
"865","4","FFl1","0",0
