"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"309","1","AZa1","0","0",0
"310","2","AZa1","0","0",0
"311","3","AZa1","0","0",0
"312","4","AZa1","0","0",0
"313","5","AZa1","0","0",0
"314","6","AZa1","0","0",0
"315","7","AZa1","0","0",0
"316","1","AZa2","0","0",0
"317","2","AZa2","0","0",0
"318","3","AZa2","0","0",0
"319","4","AZa2","0","0",0
"320","5","AZa2","0","0",0
"321","6","AZa2","0","0",0
"322","7","AZa2","0","0",0
"323","1","AZa3","0","0",0
"324","2","AZa3","0","0",0
"325","3","AZa3","0","0",0
"326","4","AZa3","0","0",0
"327","5","AZa3","0","0",0
"328","6","AZa3","0","0",0
"329","7","AZa3","0","0",0
"330","1","AZa4","0","0",0
"331","2","AZa4","0","0",0
"332","3","AZa4","0","0",0
"333","4","AZa4","0","0",0
"334","5","AZa4","0","0",0
"335","6","AZa4","0","0",0
"336","7","AZa4","0","0",0
"337","1","AZa5","0","0",0
"338","2","AZa5","0","0",0
"339","3","AZa5","0","0",0
"340","4","AZa5","0","0",0
"341","5","AZa5","0","0",0
"342","6","AZa5","0","0",0
"343","7","AZa5","0","0",0
"344","1","AZa6","0","0",0
"345","2","AZa6","0","0",0
"346","3","AZa6","0","0",0
"347","4","AZa6","0","0",0
"348","5","AZa6","0","0",0
"349","6","AZa6","0","0",0
"350","7","AZa6","0","0",0
"351","1","AZa7","0","0",0
"352","2","AZa7","0","0",0
"353","3","AZa7","0","0",0
"354","4","AZa7","0","0",0
"355","5","AZa7","0","0",0
"356","6","AZa7","0","0",0
"357","7","AZa7","0","0",0
"358","1","AZd1","0","0",0
"359","2","AZd1","0","0",0
"360","3","AZd1","0","0",0
"361","4","AZd1","0","0",0
"362","5","AZd1","0","0",0
"363","6","AZd1","0","0",0
"364","7","AZd1","0","0",0
"365","1","AZd2","0","0",0
"366","2","AZd2","0","0",0
"367","3","AZd2","0","0",0
"368","4","AZd2","0","0",0
"369","5","AZd2","0","0",0
"370","6","AZd2","0","0",0
"371","7","AZd2","0","0",0
"372","1","AZd3","0","0",0
"373","2","AZd3","0","0",0
"374","3","AZd3","0","0",0
"375","4","AZd3","0","0",0
"376","5","AZd3","0","0",0
"377","6","AZd3","0","0",0
"378","7","AZd3","0","0",0
"379","1","AZd4","0","0",0
"380","2","AZd4","0","0",0
"381","3","AZd4","0","0",0
"382","4","AZd4","0","0",0
"383","5","AZd4","0","0",0
"384","6","AZd4","0","0",0
"385","7","AZd4","0","0",0
"386","1","AZi1","0","0",0
"387","2","AZi1","0","0",0
"388","3","AZi1","0","0",0
"389","4","AZi1","0","0",0
"390","5","AZi1","0","0",0
"391","6","AZi1","0","0",0
"392","7","AZi1","0","0",0
"393","1","AZi3","0","0",0
"394","2","AZi3","0","0",0
"395","3","AZi3","0","0",0
"396","4","AZi3","0","0",0
